Season,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
2018-19,9/2/19,Girona,Huesca,0,2,A,0,2,A
2018-19,10/2/19,Ath Bilbao,Barcelona,0,0,D,0,0,D
2018-19,10/2/19,Leganes,Betis,3,0,H,2,0,H
2018-19,10/2/19,Sevilla,Eibar,2,2,D,0,1,A
2018-19,10/2/19,Valencia,Sociedad,0,0,D,0,0,D
2018-19,11/2/19,Alaves,Levante,2,0,H,1,0,H
2018-19,15/02/2019,Eibar,Getafe,2,2,D,0,1,A
2018-19,16/02/2019,Barcelona,Valladolid,1,0,H,1,0,H
2018-19,16/02/2019,Celta,Levante,1,4,A,0,2,A
2018-19,16/02/2019,Sociedad,Leganes,3,0,H,0,0,D
2018-19,16/02/2019,Vallecano,Ath Madrid,0,1,A,0,0,D
2018-19,17/02/2019,Betis,Alaves,1,1,D,1,1,D
2018-19,17/02/2019,Real Madrid,Girona,1,2,A,1,0,H
2018-19,17/02/2019,Valencia,Espanol,0,0,D,0,0,D
2018-19,17/02/2019,Villarreal,Sevilla,3,0,H,2,0,H
2018-19,18/02/2019,Huesca,Ath Bilbao,0,1,A,0,1,A
2018-19,22/02/2019,Espanol,Huesca,1,1,D,1,0,H
2018-19,23/02/2019,Alaves,Celta,0,0,D,0,0,D
2018-19,23/02/2019,Ath Bilbao,Eibar,1,0,H,1,0,H
2018-19,23/02/2019,Getafe,Vallecano,2,1,H,1,0,H
2018-19,23/02/2019,Sevilla,Barcelona,2,4,A,2,1,H
2018-19,24/02/2019,Ath Madrid,Villarreal,2,0,H,1,0,H
2018-19,24/02/2019,Leganes,Valencia,1,1,D,0,1,A
2018-19,24/02/2019,Levante,Real Madrid,1,2,A,0,1,A
2018-19,24/02/2019,Valladolid,Betis,0,2,A,0,1,A
2018-19,25/02/2019,Girona,Sociedad,0,0,D,0,0,D
2018-19,1/3/19,Vallecano,Girona,0,2,A,0,1,A
2018-19,2/3/19,Espanol,Valladolid,3,1,H,1,1,D
2018-19,2/3/19,Huesca,Sevilla,2,1,H,1,0,H
2018-19,2/3/19,Real Madrid,Barcelona,0,1,A,0,1,A
2018-19,2/3/19,Villarreal,Alaves,1,2,A,0,0,D
2018-19,3/3/19,Betis,Getafe,1,2,A,0,2,A
2018-19,3/3/19,Eibar,Celta,1,0,H,0,0,D
2018-19,3/3/19,Sociedad,Ath Madrid,0,2,A,0,2,A
2018-19,3/3/19,Valencia,Ath Bilbao,2,0,H,0,0,D
2018-19,4/3/19,Leganes,Levante,1,0,H,1,0,H
2018-19,8/3/19,Ath Bilbao,Espanol,1,1,D,0,1,A
2018-19,9/3/19,Alaves,Eibar,1,1,D,0,0,D
2018-19,9/3/19,Ath Madrid,Leganes,1,0,H,0,0,D
2018-19,9/3/19,Barcelona,Vallecano,3,1,H,1,1,D
2018-19,9/3/19,Getafe,Huesca,2,1,H,0,1,A
2018-19,10/3/19,Celta,Betis,0,1,A,0,0,D
2018-19,10/3/19,Girona,Valencia,2,3,A,1,1,D
2018-19,10/3/19,Levante,Villarreal,0,2,A,0,0,D
2018-19,10/3/19,Sevilla,Sociedad,5,2,H,1,1,D
2018-19,10/3/19,Valladolid,Real Madrid,1,4,A,1,1,D
2018-19,15/03/2019,Sociedad,Levante,1,1,D,1,0,H
2018-19,16/03/2019,Ath Bilbao,Ath Madrid,2,0,H,0,0,D
2018-19,16/03/2019,Huesca,Alaves,1,3,A,1,1,D
2018-19,16/03/2019,Leganes,Girona,0,2,A,0,2,A
2018-19,16/03/2019,Real Madrid,Celta,2,0,H,0,0,D
2018-19,17/03/2019,Betis,Barcelona,1,4,A,0,2,A
2018-19,17/03/2019,Eibar,Valladolid,1,2,A,0,0,D
2018-19,17/03/2019,Espanol,Sevilla,0,1,A,0,0,D
2018-19,17/03/2019,Valencia,Getafe,0,0,D,0,0,D
2018-19,17/03/2019,Villarreal,Vallecano,3,1,H,0,1,A
2018-19,29/03/2019,Girona,Ath Bilbao,1,2,A,1,0,H
2018-19,30/03/2019,Alaves,Ath Madrid,0,4,A,0,2,A
2018-19,30/03/2019,Barcelona,Espanol,2,0,H,0,0,D
2018-19,30/03/2019,Celta,Villarreal,3,2,H,0,2,A
2018-19,30/03/2019,Getafe,Leganes,0,2,A,0,0,D
2018-19,31/03/2019,Levante,Eibar,2,2,D,2,1,H
2018-19,31/03/2019,Real Madrid,Huesca,3,2,H,1,1,D
2018-19,31/03/2019,Sevilla,Valencia,0,1,A,0,1,A
2018-19,31/03/2019,Valladolid,Sociedad,1,1,D,1,0,H
2018-19,31/03/2019,Vallecano,Betis,1,1,D,1,0,H
2018-19,2/4/19,Ath Madrid,Girona,2,0,H,0,0,D
2018-19,2/4/19,Espanol,Getafe,1,1,D,0,0,D
2018-19,2/4/19,Villarreal,Barcelona,4,4,D,1,2,A
2018-19,3/4/19,Ath Bilbao,Levante,3,2,H,2,0,H
2018-19,3/4/19,Eibar,Vallecano,2,1,H,0,1,A
2018-19,3/4/19,Huesca,Celta,3,3,D,0,1,A
2018-19,3/4/19,Valencia,Real Madrid,2,1,H,1,0,H
2018-19,4/4/19,Leganes,Valladolid,1,0,H,0,0,D
2018-19,4/4/19,Sevilla,Alaves,2,0,H,1,0,H
2018-19,4/4/19,Sociedad,Betis,2,1,H,1,0,H
2018-19,6/4/19,Barcelona,Ath Madrid,2,0,H,0,0,D
2018-19,6/4/19,Girona,Espanol,1,2,A,0,0,D
2018-19,6/4/19,Real Madrid,Eibar,2,1,H,0,1,A
2018-19,6/4/19,Vallecano,Valencia,2,0,H,1,0,H
2018-19,7/4/19,Alaves,Leganes,1,1,D,1,0,H
2018-19,7/4/19,Betis,Villarreal,2,1,H,1,1,D
2018-19,7/4/19,Celta,Sociedad,3,1,H,0,1,A
2018-19,7/4/19,Getafe,Ath Bilbao,1,0,H,0,0,D
2018-19,7/4/19,Levante,Huesca,2,2,D,1,0,H
2018-19,7/4/19,Valladolid,Sevilla,0,2,A,0,0,D
2018-19,13/04/2019,Ath Madrid,Celta,2,0,H,1,0,H
2018-19,13/04/2019,Espanol,Alaves,2,1,H,1,0,H
2018-19,13/04/2019,Huesca,Barcelona,0,0,D,0,0,D
2018-19,13/04/2019,Sevilla,Betis,3,2,H,1,0,H
2018-19,14/04/2019,Ath Bilbao,Vallecano,3,2,H,1,1,D
2018-19,14/04/2019,Girona,Villarreal,0,1,A,0,1,A
2018-19,14/04/2019,Sociedad,Eibar,1,1,D,1,0,H
2018-19,14/04/2019,Valencia,Levante,3,1,H,1,0,H
2018-19,14/04/2019,Valladolid,Getafe,2,2,D,1,1,D
2018-19,15/04/2019,Leganes,Real Madrid,1,1,D,1,0,H
2018-19,19/04/2019,Alaves,Valladolid,2,2,D,2,1,H
2018-19,20/04/2019,Barcelona,Sociedad,2,1,H,1,0,H
2018-19,20/04/2019,Celta,Girona,2,1,H,1,0,H
2018-19,20/04/2019,Eibar,Ath Madrid,0,1,A,0,0,D
2018-19,20/04/2019,Vallecano,Huesca,0,0,D,0,0,D
2018-19,21/04/2019,Betis,Valencia,1,2,A,0,1,A
2018-19,21/04/2019,Getafe,Sevilla,3,0,H,2,0,H
2018-19,21/04/2019,Levante,Espanol,2,2,D,0,1,A
2018-19,21/04/2019,Real Madrid,Ath Bilbao,3,0,H,0,0,D
2018-19,21/04/2019,Villarreal,Leganes,2,1,H,0,0,D
2018-19,23/04/2019,Alaves,Barcelona,0,2,A,0,0,D
2018-19,23/04/2019,Huesca,Eibar,2,0,H,0,0,D
2018-19,23/04/2019,Valladolid,Girona,1,0,H,0,0,D
2018-19,24/04/2019,Ath Madrid,Valencia,3,2,H,1,1,D
2018-19,24/04/2019,Espanol,Celta,1,1,D,1,0,H
